Gene_accession no.,Class,amr_gene,amr_allele,Phenotype,PMID,Mechanism of resistance,Notes,Required_gene,Reference
aadA4_1_Z50802,Aminoglycoside,aadA,aadA4,Streptomycin,10673049,Enzymatic modification,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2992599/pdf/nihms-231782.pdf; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
aadA5_1_AF137361,Aminoglycoside,aadA,aadA5,Streptomycin,10673049,Enzymatic modification,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2992599/pdf/nihms-231782.pdf; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
aadA6_1_AF140629,Aminoglycoside,aadA,aadA6,Streptomycin,10673049,Enzymatic modification,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2992599/pdf/nihms-231782.pdf; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
aadA7_1_AF224733,Aminoglycoside,aadA,aadA7,Streptomycin,10817710,Enzymatic modification,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2992599/pdf/nihms-231782.pdf; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
aadA7_2_AB114632,Aminoglycoside,aadA,aadA7,Streptomycin,15117923,Enzymatic modification,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2992599/pdf/nihms-231782.pdf; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
aadA8_1_AF326210,Aminoglycoside,aadA,aadA8,Streptomycin,11557503,Enzymatic modification,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2992599/pdf/nihms-231782.pdf; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
aadA8b_1_AY139603,Aminoglycoside,aadA,aadA8,Streptomycin,19719593,Enzymatic modification,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2992599/pdf/nihms-231782.pdf; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
aadA8b_2_AM040708,Aminoglycoside,aadA,aadA8,Streptomycin,16291869,Enzymatic modification,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2992599/pdf/nihms-231782.pdf; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
aadA9_1_AJ420072,Aminoglycoside,aadA,aadA9,Streptomycin,12383729,Enzymatic modification,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2992599/pdf/nihms-231782.pdf; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
aadA10_1_U37105,Aminoglycoside,aadA,aadA10,Streptomycin,12121911,Enzymatic modification,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2992599/pdf/nihms-231782.pdf; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
aadA10_2_AM087405,Aminoglycoside,aadA,aadA10,Streptomycin,16495246,Enzymatic modification,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2992599/pdf/nihms-231782.pdf; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
aadA11_1_AY144590,Aminoglycoside,aadA,aadA11,Streptomycin,16451415,Enzymatic modification,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2992599/pdf/nihms-231782.pdf; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
aadA11_2_AJ567827,Aminoglycoside,aadA,aadA12,Streptomycin,unpublished,Enzymatic modification,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2992599/pdf/nihms-231782.pdf; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
aadA12_1_AY665771,Aminoglycoside,aadA,aadA13,Streptomycin,unpublished,Enzymatic modification,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2992599/pdf/nihms-231782.pdf; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
aadA13_1_AY713504,Aminoglycoside,aadA,aadA13,Streptomycin,unpublished,Enzymatic modification,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2992599/pdf/nihms-231782.pdf; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
aadA13_2_NC010643,Aminoglycoside,aadA,aadA13,Streptomycin,18268088,Enzymatic modification,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2992599/pdf/nihms-231782.pdf; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
aadA14_1_AJ884726,Aminoglycoside,aadA,aadA14,Streptomycin,15980396,Enzymatic modification,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2992599/pdf/nihms-231782.pdf; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
aadA15_1_DQ393783,Aminoglycoside,aadA,aadA15,Streptomycin,16816399,Enzymatic modification,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2992599/pdf/nihms-231782.pdf; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
aadA16_1_EU675686,Aminoglycoside,aadA,aadA16,Streptomycin,19008256,Enzymatic modification,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2992599/pdf/nihms-231782.pdf; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
aadA17_1_FJ460181,Aminoglycoside,aadA,aadA17,Streptomycin,22127350,Enzymatic modification,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2992599/pdf/nihms-231782.pdf; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
aadA21_1_AY171244,Aminoglycoside,aadA,aadA21,Streptomycin,12760885,Enzymatic modification,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2992599/pdf/nihms-231782.pdf; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
aadA22_1_AM261837,Aminoglycoside,aadA,aadA22,Streptomycin,17597002,Enzymatic modification,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2992599/pdf/nihms-231782.pdf; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
aadA23_1_AJ809407,Aminoglycoside,aadA,aadA23,Streptomycin,15761062,Enzymatic modification,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2992599/pdf/nihms-231782.pdf; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
aadA24_1_AM711129,Aminoglycoside,aadA,aadA24,Streptomycin,18571383,Enzymatic modification,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2992599/pdf/nihms-231782.pdf; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
aadA24_1_DQ677333,Aminoglycoside,aadA,aadA24,Streptomycin,17650961,Enzymatic modification,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2992599/pdf/nihms-231782.pdf; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
ant_4-_-Ib_1_AJ506108,Aminoglycoside,aadD,ant(4')-Ib,"Amikacin, Tobramycin",12654668,Enzymatic modification,Alternative name aadA2,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2992599/pdf/nihms-231782.pdf; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
aadD_1_AF181950,Aminoglycoside,aadD,ant(4')-Ia,"Amikacin, Tobramycin",10858352,Enzymatic modification,Alternative name ant(4')-Ia,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2992599/pdf/nihms-231782.pdf; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
aadD_2_M19465,Aminoglycoside,aadD,ant(4')-Ia,"Amikacin, Tobramycin",3010356,Enzymatic modification,Alternative name ant(4')-Ia,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2992599/pdf/nihms-231782.pdf; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
ant_4-_-IIa_1_M98270,Aminoglycoside,aadD,ant(4')-IIa,"Amikacin, Tobramycin",8385262,Enzymatic modification,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2992599/pdf/nihms-231782.pdf; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
ant_4-_-IIb_1_AY114142,Aminoglycoside,aadD,ant(4')-IIb,"Amikacin, Tobramycin",12709326,Enzymatic modification,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2992599/pdf/nihms-231782.pdf; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
ant_6_-Ia_1_AF330699,Aminoglycoside,aadE,ant(6)-Ia,Streptomycin,11600397,Enzymatic modification," Alternative name ant6, aadE",,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2992599/pdf/nihms-231782.pdf; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
ant_6_-Ia_2_KF421157,Aminoglycoside,aadE,ant(6)-Ia,Streptomycin,24379302,Enzymatic modification," Alternative name ant6, aadE",,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2992599/pdf/nihms-231782.pdf; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
ant_6_-Ia_3_KF864551,Aminoglycoside,aadE,ant(6)-Ia,Streptomycin,17395262,Enzymatic modification," Alternative name ant6, aadE",,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2992599/pdf/nihms-231782.pdf; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
ant_6_-Ia_5_AB247327,Aminoglycoside,aadE,ant(6)-Ia,Streptomycin,17021204,Enzymatic modification,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2992599/pdf/nihms-231782.pdf; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
aadE-Cc_1_CP013733,Aminoglycoside,aadE,aadE,Streptomycin,unpublished,Enzymatic modification,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2992599/pdf/nihms-231782.pdf; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
aadK_1_M26879,Aminoglycoside,aadK,aadK,Streptomycin,2550327,Enzymatic modification,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2992599/pdf/nihms-231782.pdf; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
ant_6_-Ib_1_FN594949,Aminoglycoside,aadE,ant(6)-Ib,Streptomycin,20479200,Enzymatic modification,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2992599/pdf/nihms-231782.pdf; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
ant_3--_-Ii-aac_6-_-IId_1_AF453998,Aminoglycoside,ant(3'')-aac(6'),ant(3'')-aac(6'),"Gentamicin, Streptomycin, Tobramycin",11959575,Enzymatic modification,Alternative name ant(3'')-Ih-aac(6')-Iid,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2992599/pdf/nihms-231782.pdf; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
ant_9_-Ia_1_X02588,Aminoglycoside,ant(9),ant(9)-Ia,None,2993813,Enzymatic modification,"Alternative name aad(9), spc",,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2992599/pdf/nihms-231782.pdf; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
ant_9_-Ia_2_M69221,Aminoglycoside,ant(9),ant(9)-Ia,None,1659306,Enzymatic modification,"Alternative name aad(9), spc",,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2992599/pdf/nihms-231782.pdf; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
aph_2--_-Ia_2_AP009486,Aminoglycoside,aph(2''),aph(2'')-Ia,"Amikacin, Gentamicin, Tobramycin",19074389,Enzymatic modification,Bifunctional aac(6')-Ie-aph(2'')-Ia,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2992599/pdf/nihms-231782.pdf; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
aph_2--_-Ia_3_AJ536195,Aminoglycoside,aph(2''),aph(2'')-Ia,"Amikacin, Gentamicin, Tobramycin",12716781,Enzymatic modification,Bifunctional aac(6')-Ie-aph(2'')-Ia,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2992599/pdf/nihms-231782.pdf; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
aph_2--_-Ib_1_AF337947,Aminoglycoside,aph(2''),aph(2'')-Ib,"Amikacin, Gentamicin, Tobramycin",11557456,Enzymatic modification,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2992599/pdf/nihms-231782.pdf; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
aph_2--_-Ib_2_AF207840,Aminoglycoside,aph(2''),aph(2'')-Ib,"Amikacin, Gentamicin, Tobramycin",10991878,Enzymatic modification,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2992599/pdf/nihms-231782.pdf; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
aph_2--_-Ib_3_KF652098,Aminoglycoside,aph(2''),aph(2'')-Ib,"Amikacin, Gentamicin, Tobramycin",unpublished,Enzymatic modification,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2992599/pdf/nihms-231782.pdf; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
aph_2--_-Ic_1_U51479,Aminoglycoside,aph(2''),aph(2'')-Ic,"Amikacin, Gentamicin, Tobramycin",9055984,Enzymatic modification,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2992599/pdf/nihms-231782.pdf; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
aph_2--_-Id_1_AF016483,Aminoglycoside,aph(2''),aph(2'')-Id,"Amikacin, Gentamicin, Tobramycin",9593155,Enzymatic modification,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2992599/pdf/nihms-231782.pdf; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
aph_2--_-Ie_1_AY743255,Aminoglycoside,aph(2''),aph(2'')-Ie,"Amikacin, Gentamicin, Tobramycin",16201926,Enzymatic modification,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2992599/pdf/nihms-231782.pdf; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
aph_2--_-If_1_KF652097,Aminoglycoside,aph(2''),aph(2'')-If,"Amikacin, Gentamicin, Tobramycin",unpublished,Enzymatic modification,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2992599/pdf/nihms-231782.pdf; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
aph_2--_-If_2_AY701528,Aminoglycoside,aph(2''),aph(2'')-If,"Amikacin, Gentamicin, Tobramycin",15917546,Enzymatic modification,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2992599/pdf/nihms-231782.pdf; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
aph_2--_-Ig_1_CP004067,Aminoglycoside,aph(2''),aph(2'')-Ig,"Amikacin, Gentamicin, Tobramycin",23959310,Enzymatic modification,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2992599/pdf/nihms-231782.pdf; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
aph_2--_-Ih_1_KF652096,Aminoglycoside,aph(2''),aph(2'')-Ih,"Amikacin, Gentamicin, Tobramycin",unpublished,Enzymatic modification,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2992599/pdf/nihms-231782.pdf; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
aph_3-_-Ia_1_V00359,Aminoglycoside,aph(3'),aph(3')-Ia,None,6270337,Enzymatic modification,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2992599/pdf/nihms-231782.pdf; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
aph_3-_-Ia_2_EU287476,Aminoglycoside,aph(3'),aph(3')-Ia,None,21393370,Enzymatic modification,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2992599/pdf/nihms-231782.pdf; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
